id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
119;Río Segundo;14;Córdoba;2024;Dengue;10;De 35 a 44 años;8;10
063;Lules;90;Tucumán;2024;Dengue;10;De 35 a 44 años;13;40
014;Formosa;34;Formosa;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);1;6
035;Avellaneda;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;14;68
056;Copo;86;Santiago del Estero;2024;Dengue;5;De 5 a 9 años;7;1
049;General Obligado;82;Santa Fe;2024;Dengue;7;De 15 a 19 años;16;27
756;San Isidro;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;13;60
035;Graneros;90;Tucumán;2024;Dengue;12;Mayores de 65 años;18;3
021;Chicligasta;90;Tucumán;2024;Dengue;10;De 35 a 44 años;6;3
854;25 de Mayo;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;10;1
056;Jáchal;70;San Juan;2024;Dengue;11;De 45 a 65 años;13;2
049;Capital;10;Catamarca;2024;Dengue;3;De 13 a 24 meses;11;5
014;COMUNA 14;02;CABA;2024;Dengue;6;De 10 a 14 años;6;2
105;Victoria;30;Entre Ríos;2024;Dengue;11;De 45 a 65 años;11;7
014;El Carmen;38;Jujuy;2024;Dengue;5;De 5 a 9 años;12;16
112;O'Higgins;22;Chaco;2024;Dengue;8;De 20 a 24 años;7;1
014;COMUNA 14;02;CABA;2024;Dengue;7;De 15 a 19 años;16;3
021;Comandante Fernández;22;Chaco;2024;Dengue;6;De 10 a 14 años;8;2
063;San Pedro;38;Jujuy;2024;Dengue;11;De 45 a 65 años;18;13
028;Capital;54;Misiones;2024;Dengue;7;De 15 a 19 años;11;10
448;Laprida;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;18;1
410;Ituzaingó;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;14;16
105;Río Primero;14;Córdoba;2024;Dengue;11;De 45 a 65 años;8;3
441;La Plata;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;6;2
161;Tapenagá;22;Chaco;2024;Dengue;6;De 10 a 14 años;6;1
098;Santa Rosa;10;Catamarca;2024;Dengue;11;De 45 a 65 años;10;5
077;9 de Julio;82;Santa Fe;2024;Dengue;7;De 15 a 19 años;6;6
021;Dr. Manuel Belgrano;38;Jujuy;2024;Dengue;5;De 5 a 9 años;10;2
